Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
MMV009952,(-)-Halofuginone,1.02,8.40,,7.64,8.24,,7.49,O[C@@H]1CCCN[C@H]1CC(=O)CN2C=Nc3cc(Br)c(Cl)cc3C2=O
NCGC00093889,(-)-Physostigmine,3981.07,,5000.00,,,1.26,,CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]3N(C)CC[C@@]23C
NCGC00016954,(-)-QUINPIROLE,5000.00,,2511.89,,,0.50,,Cl.CCCN1CCC[C@@H]2Cc3nncc3C[C@@H]12
NCGC00163242,(+)-TUBOCURARINE,5000.00,,501.19,,,0.10,,[Cl-].Cl.Oc7ccc1cc7Oc5cc6[C@H](Cc4ccc(Oc2c3[C@@H](C1)[N+](C)(C)CCc3cc(OC)c2O)cc4)N(C)CCc6cc5OC
NCGC00016486,"(d,l)-Tetrahydroberberine",2511.89,,5000.00,,,1.99,,COc1c(OC)ccc2CC3N(Cc12)CCc4cc5OCOc5cc34
NCGC00016798,(S)-TIMOLOL,5000.00,,3162.28,,,0.63,,O[C@H](COc1nsnc1N2CCOCC2)CNC(C)(C)C
MMV1006203,"1,1-dioxide 1-Thioflavone",5000.00,,266.70,,,0.05,,O=C1C=C(c2ccccc2)S(=O)(=O)c3ccccc13
10-Arylamine,10-Arylamine,1.30,38.20,16.42,800.00,29.38,12.63,615.38,Fc1ccc(cc1)NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
10-Phenylurea,10-Phenylurea,1.30,83.00,1.70,100.00,63.85,1.31,76.92,O=C(Nc1ccccc1)N1CCN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
10-Piperazine,10-Piperazine,3.10,54.91,25.70,1000.00,17.71,8.29,322.58,CC12OC3OC(C(C)C4CCC(C)C(CC1)C43OO2)N1CCNCC1
10-Sulfamide,10-Sulfamide,3.00,15.00,419.40,,5.00,139.80,,NS(=O)(=O)NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3
NCGC00163424,17-Allylamino-geldanamycin,1584.89,,1584.89,,,1.00,,NC(=O)O[C@H]1C(C)=C[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)C(C)=CC=C[C@@H]1OC)C2=O
MMV180402,2-Adamantanamine,5000.00,,434.80,,,0.09,,NC2C1CC3CC(C1)CC2C3
NCGC00096053,2-AMINOGUANIDINE HEMISULFATE,5000.00,,794.33,,,0.16,,NC(=N)NN.O=S(=O)(O)O.N=C(N)NN
NCGC00018167,2-Chloro-2?-deoxyadenosineÃ¸,5000.00,,1000.00,,,0.20,,Nc3nc(Cl)nc2c3ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
NCGC00091456,2-Methylimidazole,5000.00,,3162.28,,,0.63,,Cc1nccn1
NCGC00013217,"2,3-DIMERCAPTOBUTANEDIOIC ACID, ARSENIC(3+)",3981.07,,5000.00,,,1.26,,O=C(O)[C@@H](S)[C@H](S)C(O)=O
YA2,"2,7-dibromocryptolepine",30.00,,2000.00,,,66.67,,Brc1cc2c([n-]c3cc4cc(Br)ccc4[n+](C)c32)cc1
MMV397264,21A092,10.58,62.10,,213.30,5.87,,20.16,CC(C)c1nc2ccccc2n1CC(=O)Nc3c(c(C)nn3C)c4ccc(Cl)cc4F
