SMILES,logS,logD,logP,MW,TPSA,HBD,HBA,Flexibility,Rotatable Bonds,Class
,,,,,,,,,,
Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1,1.622,3.407,4.263,287.8,12.47,0,2,0.09091,2,ABS
,,,,,,,,,,ABS
Nc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(N)cc6)ccc3[nH]2,0.4949,3.498,4.065,430.5,109.4,4,6,0.1053,4,ABS
,,,,,,,,,,ABS
FC(F)(F)Oc1cccc(c1)c1nc2c(nccc2[NH]1)N1CCC(N)CC1,2.061,2.407,2.246,377.4,80.06,2,6,0.1333,4,ABS
,,,,,,,,,,ABS
FC(F)(F)c1ccc(nc1)N1CCN(CC1)S(=O)(=O)NC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,0.4456,2.992,3.397,576.6,102.5,1,10,0.1136,5,ABS
,,,,,,,,,,ABS
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,2.063,2.935,2.935,298.4,46.15,0,5,0.04167,1,ABS
,,,,,,,,,,ABS
Cc1n(c2c([n+]1C(C)C)C(=O)c3ccccc3C2=O)C(C)C,0.6694,0.9692,4.171,297.4,42.95,0,4,0.08333,2,ABS
,,,,,,,,,,ABS
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCON=C(N)N)NC(=O)OCc1ccccc1)C2CCCCC2)[C@@H](O)CC(=O)NCCc3ccccc3,1.177,3.239,2.76,709.9,219.5,7,14,0.4717,25,ABS
,,,,,,,,,,ABS
ClC1=C(Cl)C=C(N=C2N3C(NCC4=CC=C(OC(F)(F)F)C=C4)=CC(C(F)(F)F)=C2C#N)C3=C1,-0.3136,4.439,5.705,519.2,62.35,1,5,0.1892,7,ABS
,,,,,,,,,,ABS
ClC1=CC(C2=C(C#N)C(N3C(NCCNCC)=C2)=NC4=C3C=CC=C4)=CC=C1Cl,0.552,3.673,4.512,424.3,65.15,2,5,0.2188,7,ABS
,,,,,,,,,,ABS
COc1ccc(cc1)NC(=O)N1CC2C(c3ccc(C#Cc4ccccc4)cc3)C(CN(C)C)N2CCCC1,1.947,3.386,5.153,522.7,48.05,1,6,0.2093,9,ABS
,,,,,,,,,,ABS
NC(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(nc3)C(F)(F)F,0.849,2.507,2.32,358.3,94.89,2,5,0.1429,4,ABS
,,,,,,,,,,ABS
CCNCCNC1=CC(C2=CC=CC(F)=C2)=C(C#N)C3=NC4=C(C=CC=C4)N31,1,2.461,3.641,373.4,65.15,2,5,0.2258,7,ABS
,,,,,,,,,,ABS
CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C,1.322,2.787,2.787,426.5,85.58,0,6,0.125,4,ABS
,,,,,,,,,,ABS
CNC1=CC=C(C=C1)N(C)C(=O)C1=CN2C(C=N1)=NC=C2C1=CC=C(Cl)C=C1,1.649,2.288,3.271,391.9,62.53,1,6,0.1613,5,ABS
,,,,,,,,,,ABS
CS(=O)(=O)c1ccc(cc1)c2cnn3ccc(cc23)c4cccc(c4)S(=O)(=O)C,1.322,2.787,2.787,426.5,85.58,0,6,0.125,4,ABS
,,,,,,,,,,ABS
